id;artist_name;artist_popularity;artist_followers;artist_genres
2uYZJqMXH5Q6xvPU6BPySL;Willy Mason;45;30138;
2v3z0sSTauju6TA1GMqiQj;KinKai;48;2293;manchester hip hop,uk alternative hip hop
2vI9KFm0fwSfPrpEgOeIbq;Brad Mehldau;58;126561;bebop,contemporary jazz,contemporary post-bop,cool jazz,jazz,jazz fusion,jazz piano,modern jazz piano
2vxB3dcYKpHO5eQfYetGxT;Aldir Blanc;46;7204;brazilian composition,choro,roda de samba,samba,velha guarda
2wWBoQpcybsDVpouFubTqZ;Kris Bowers;40;6107;modern jazz piano
2wY79sveU1sp5g7SokKOiI;Sam Smith;89;12672804;pop,post-teen pop,uk pop
2x8KDZdSONA3872CnhaAlX;Styles P;66;370073;battle rap,east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop,trap
2xDc4cU0Rj6YG8SrmAHIy0;Heather Headley;49;40710;neo soul,r&b,urban contemporary
2xMBRdUYQjgJezQ8lNGQq5;Muhsinah;28;7788;
2yQf6b8hxahZaT5dHlWaB1;Raekwon;66;362239;alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop
2yrbLiuBmc9j81lTX3XUuI;The Jacksons;64;837512;disco,funk,motown,quiet storm,soul
2ysnwxxNtSgbb9t1m2Ur4j;George Ezra;78;3093647;folk-pop,neo-singer-songwriter,pop
2z6I01y9cdNA4IlOAIcQED;Howard Tate;31;4779;southern soul
31TPClRtHm23RisEBtV3X7;Justin Timberlake;84;9051660;dance pop,pop
31zQEL3ARiYe63jn3jtM18;Take 6;43;36033;a cappella,christian a cappella,gospel
320TrJub4arztwXRm7kqVO;Dr. John;59;165490;blues,blues rock,classic rock,country rock,electric blues,folk rock,funk,jazz blues,louisiana blues,new orleans blues,piano blues,roots rock,soul
32Jb1X3wSmmoHj2epZReZA;Steve Vai;54;331029;instrumental rock,metal guitar,neo classical metal,progressive metal,shred
32WK2OuP2PG4r7sH7bUfN9;Ronny Jordan;49;22892;acid jazz,jazz funk,smooth jazz
336vr2M3Va0FjyvB55lJEd;D'Angelo;67;876304;alternative r&b,funk,hip hop,indie soul,neo soul,r&b,soul,urban contemporary
34v3bdVwuBmfS7qiT57NMU;"Yo-Yo Ma;Bobby McFerrin";28;1667;
36QJpDe2go2KgaRleHCDTp;Led Zeppelin;82;8982048;album rock,classic rock,hard rock,rock
375zxMmh2cSgUzFFnva0O7;Wynton Marsalis;56;157767;bebop,classical trumpet,contemporary post-bop,cool jazz,hard bop,jazz,jazz trumpet,new orleans jazz,straight-ahead jazz,vocal jazz
37Lr1lIJy824MQIENRUnZn;Kurt Masur;52;3043;classical performance,orchestral performance
38h03gA85YYPeDPd9ER9rT;The O'Jays;62;636711;classic soul,disco,funk,motown,philly soul,post-disco,quiet storm,soul,southern soul,urban contemporary
3AA28KZvwAUcZuOKwyblJQ;Gorillaz;82;5496809;alternative hip hop,art pop
3Ao7NH7lRyQAeKQg2mlTcO;Mahavishnu Orchestra;44;84026;art rock,canterbury scene,instrumental rock,jazz funk,jazz fusion,progressive rock,symphonic rock
3BG0nwVh3Gc7cuT4XdsLtt;Joe Henderson;46;70537;avant-garde jazz,bebop,big band,contemporary jazz,contemporary post-bop,cool jazz,free jazz,hard bop,jazz,jazz funk,jazz fusion,jazz saxophone,soul jazz
3BeQqzKdlARoOd6y30kCO2;Pete Rock;61;201534;alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,jazz boom bap,jazz rap,turntablism
